SUBDIVISION,YEAR,ANNUAL
arunachal pradesh,1943,4326.599999999999
arunachal pradesh,1944,3904.3
arunachal pradesh,1945,3649.2
arunachal pradesh,1946,4011.2000000000007
arunachal pradesh,1947,4369.099999999999
arunachal pradesh,1948,6331.1
arunachal pradesh,1949,4874.8
arunachal pradesh,1950,2391.2000000000003
arunachal pradesh,1951,3354.2999999999997
arunachal pradesh,1952,2396.1
arunachal pradesh,1953,2580.4000000000005
arunachal pradesh,1957,3776.0
arunachal pradesh,1958,5063.499999999999
arunachal pradesh,1959,4195.5
arunachal pradesh,1960,3709.3999999999996
arunachal pradesh,1961,3676.5
arunachal pradesh,1962,4752.4
arunachal pradesh,1963,4138.0
arunachal pradesh,1964,4959.299999999999
arunachal pradesh,1965,2196.7999999999997
arunachal pradesh,1966,2209.7000000000003
arunachal pradesh,1967,1668.5
arunachal pradesh,1968,2138.9
arunachal pradesh,1969,1877.8
arunachal pradesh,1970,1973.4
arunachal pradesh,1971,2184.6000000000004
arunachal pradesh,1972,2281.3000000000006
arunachal pradesh,1973,2457.6000000000004
arunachal pradesh,1974,3064.0
arunachal pradesh,1975,2213.4
arunachal pradesh,1976,2419.6
arunachal pradesh,1977,3774.4
arunachal pradesh,1978,2531.0
arunachal pradesh,1979,2773.7
arunachal pradesh,1980,3215.4000000000005
arunachal pradesh,1981,2790.8
arunachal pradesh,1982,2779.4
arunachal pradesh,1983,3335.1000000000004
arunachal pradesh,1984,3278.1
arunachal pradesh,1985,3266.4
arunachal pradesh,1986,2495.6
arunachal pradesh,1987,3433.2999999999993
arunachal pradesh,1988,4155.4
arunachal pradesh,1989,3281.7
arunachal pradesh,1990,3604.0999999999995
arunachal pradesh,1991,3434.5
arunachal pradesh,1992,2706.7999999999997
arunachal pradesh,1993,3348.899999999999
arunachal pradesh,1994,2287.2999999999997
arunachal pradesh,1995,3068.7999999999997
arunachal pradesh,1996,2520.6
arunachal pradesh,1997,2274.9000000000005
arunachal pradesh,1998,3616.7
arunachal pradesh,1999,2316.7000000000003
arunachal pradesh,2000,2596.9
arunachal pradesh,2001,2035.9
arunachal pradesh,2002,2389.3
arunachal pradesh,2003,2451.7
arunachal pradesh,2004,2545.7999999999997
arunachal pradesh,2005,2335.5000000000005
arunachal pradesh,2006,2259.399999999999
arunachal pradesh,2007,3020.6000000000004
arunachal pradesh,2008,2244.4999999999995
arunachal pradesh,2009,1750.0000000000002
arunachal pradesh,2010,2855.5999999999995
arunachal pradesh,2011,2193.5999999999995
arunachal pradesh,2012,3440.4999999999995
arunachal pradesh,2013,2042.8999999999999
arunachal pradesh,2014,2403.0999999999995
arunachal pradesh,2015,2767.5
assam & meghalaya,1901,2498.6999999999994
assam & meghalaya,1902,2952.1000000000004
assam & meghalaya,1903,2544.6000000000004
assam & meghalaya,1904,2664.2000000000003
assam & meghalaya,1905,2790.7000000000003
assam & meghalaya,1906,2663.1999999999994
assam & meghalaya,1907,2521.3
assam & meghalaya,1908,2277.8
assam & meghalaya,1909,2377.0
assam & meghalaya,1910,2887.2999999999997
assam & meghalaya,1911,3096.1000000000004
assam & meghalaya,1912,2743.4
assam & meghalaya,1913,2760.5
assam & meghalaya,1914,2343.9
assam & meghalaya,1915,3165.2000000000003
assam & meghalaya,1916,2601.0000000000005
assam & meghalaya,1917,2520.0
assam & meghalaya,1918,3106.7999999999997
assam & meghalaya,1919,2344.1
assam & meghalaya,1920,2623.7000000000003
assam & meghalaya,1921,2999.5
assam & meghalaya,1922,2262.0000000000005
assam & meghalaya,1923,2440.3999999999996
assam & meghalaya,1924,2691.6
assam & meghalaya,1925,2550.5
assam & meghalaya,1926,2511.6
assam & meghalaya,1927,2792.8999999999996
assam & meghalaya,1928,2634.1
assam & meghalaya,1929,2953.7999999999997
assam & meghalaya,1930,2550.8
assam & meghalaya,1931,2800.1
assam & meghalaya,1932,2888.6000000000004
assam & meghalaya,1933,2339.0999999999995
assam & meghalaya,1934,3074.8000000000006
assam & meghalaya,1935,2678.5
assam & meghalaya,1936,2671.2999999999997
assam & meghalaya,1937,2324.6000000000004
assam & meghalaya,1938,2786.5
assam & meghalaya,1939,2401.5
assam & meghalaya,1940,2451.7
assam & meghalaya,1941,2709.4
assam & meghalaya,1942,2677.1000000000004
assam & meghalaya,1943,2703.7999999999997
assam & meghalaya,1944,2524.3999999999996
assam & meghalaya,1945,2665.7
assam & meghalaya,1946,2679.5000000000005
assam & meghalaya,1947,2643.2
assam & meghalaya,1948,3185.5
assam & meghalaya,1949,2983.3
assam & meghalaya,1950,2392.4
assam & meghalaya,1951,2613.8999999999996
assam & meghalaya,1952,2851.2999999999993
assam & meghalaya,1953,2560.0
assam & meghalaya,1954,2859.2000000000003
assam & meghalaya,1955,2761.2000000000003
assam & meghalaya,1956,2802.9000000000005
assam & meghalaya,1957,2256.9999999999995
assam & meghalaya,1958,2626.5
assam & meghalaya,1959,2535.7000000000003
assam & meghalaya,1960,2342.2000000000003
assam & meghalaya,1961,2195.4
assam & meghalaya,1962,2296.0
assam & meghalaya,1963,2511.6999999999994
assam & meghalaya,1964,2729.7000000000003
assam & meghalaya,1965,2398.9000000000005
assam & meghalaya,1966,2789.3
assam & meghalaya,1967,2123.2999999999997
assam & meghalaya,1968,2530.8
assam & meghalaya,1969,2332.3
assam & meghalaya,1970,3048.5
assam & meghalaya,1971,2315.1
assam & meghalaya,1972,2379.1000000000004
assam & meghalaya,1973,2672.1
assam & meghalaya,1974,3403.6
assam & meghalaya,1975,2270.6
assam & meghalaya,1976,1955.9999999999998
assam & meghalaya,1977,2616.7000000000003
assam & meghalaya,1978,2011.8
assam & meghalaya,1979,2188.4
assam & meghalaya,1980,2289.2
assam & meghalaya,1981,2079.3
assam & meghalaya,1982,2382.3
assam & meghalaya,1983,2620.2
assam & meghalaya,1984,3156.8999999999996
assam & meghalaya,1985,2801.7
assam & meghalaya,1986,2592.7000000000003
assam & meghalaya,1987,2921.6000000000004
assam & meghalaya,1988,3261.7000000000003
assam & meghalaya,1989,2682.3
assam & meghalaya,1990,2771.2
assam & meghalaya,1991,2838.0
assam & meghalaya,1992,2259.7000000000003
assam & meghalaya,1993,2879.2
assam & meghalaya,1994,2121.3
assam & meghalaya,1995,2885.9999999999995
assam & meghalaya,1996,2466.7999999999997
assam & meghalaya,1997,2372.2000000000003
assam & meghalaya,1998,2803.100000000001
assam & meghalaya,1999,2594.1
assam & meghalaya,2000,2486.8
assam & meghalaya,2001,2178.6000000000004
assam & meghalaya,2002,2392.6
assam & meghalaya,2003,2434.2000000000003
assam & meghalaya,2004,2994.2
assam & meghalaya,2005,2468.2000000000003
assam & meghalaya,2006,1898.6999999999998
assam & meghalaya,2007,2752.6999999999994
assam & meghalaya,2008,2339.6
assam & meghalaya,2009,2068.2
assam & meghalaya,2010,2711.3999999999996
assam & meghalaya,2011,1743.5
assam & meghalaya,2012,2609.4
assam & meghalaya,2013,1816.5
assam & meghalaya,2014,2206.2
assam & meghalaya,2015,2471.0
naga mani mizo tripura,1901,2168.2999999999997
naga mani mizo tripura,1902,2174.9
naga mani mizo tripura,1903,2230.8999999999996
naga mani mizo tripura,1904,2519.6000000000004
naga mani mizo tripura,1905,2527.5
naga mani mizo tripura,1906,2514.5
naga mani mizo tripura,1907,2121.8
naga mani mizo tripura,1908,2319.2
naga mani mizo tripura,1909,2308.7999999999997
naga mani mizo tripura,1910,2268.1
naga mani mizo tripura,1911,2479.8
naga mani mizo tripura,1912,2308.9
naga mani mizo tripura,1913,2613.0999999999995
naga mani mizo tripura,1914,2529.1000000000004
naga mani mizo tripura,1915,2819.8999999999996
naga mani mizo tripura,1916,2554.9
naga mani mizo tripura,1917,2222.2000000000003
naga mani mizo tripura,1918,3013.2000000000003
naga mani mizo tripura,1919,2048.1
naga mani mizo tripura,1920,2375.7
naga mani mizo tripura,1921,2638.2
naga mani mizo tripura,1922,2462.7000000000003
naga mani mizo tripura,1923,2685.4999999999995
naga mani mizo tripura,1924,2701.6999999999994
naga mani mizo tripura,1925,2447.3999999999996
naga mani mizo tripura,1926,2463.2
naga mani mizo tripura,1927,2887.3
naga mani mizo tripura,1928,2472.4
naga mani mizo tripura,1929,2859.4
naga mani mizo tripura,1930,2487.4
naga mani mizo tripura,1931,2461.2000000000003
naga mani mizo tripura,1932,2761.8
naga mani mizo tripura,1933,2451.7999999999997
naga mani mizo tripura,1934,3040.8000000000006
naga mani mizo tripura,1935,2543.2999999999997
naga mani mizo tripura,1936,2917.2000000000003
naga mani mizo tripura,1937,2741.7000000000003
naga mani mizo tripura,1938,2971.6999999999994
naga mani mizo tripura,1939,2608.4
naga mani mizo tripura,1940,2526.8999999999996
naga mani mizo tripura,1941,2966.1
naga mani mizo tripura,1942,2680.8
naga mani mizo tripura,1943,2428.0
naga mani mizo tripura,1944,2877.2
naga mani mizo tripura,1945,3051.8000000000006
naga mani mizo tripura,1946,3036.1
naga mani mizo tripura,1947,3210.499999999999
naga mani mizo tripura,1948,2822.0
naga mani mizo tripura,1949,2976.3
naga mani mizo tripura,1950,2422.9
naga mani mizo tripura,1951,2609.4
naga mani mizo tripura,1952,2810.8999999999996
naga mani mizo tripura,1953,2661.7
naga mani mizo tripura,1954,2904.9999999999995
naga mani mizo tripura,1955,2865.2999999999997
naga mani mizo tripura,1956,3022.7000000000003
naga mani mizo tripura,1957,2303.9
naga mani mizo tripura,1958,1968.5
naga mani mizo tripura,1959,2327.6
naga mani mizo tripura,1960,1800.0
naga mani mizo tripura,1961,1901.2
naga mani mizo tripura,1962,1822.5000000000002
naga mani mizo tripura,1963,2969.9999999999995
naga mani mizo tripura,1964,2328.8
naga mani mizo tripura,1965,2031.0
naga mani mizo tripura,1966,2478.7
naga mani mizo tripura,1967,2230.0
naga mani mizo tripura,1968,2110.0
naga mani mizo tripura,1969,3610.1
naga mani mizo tripura,1970,4316.3
naga mani mizo tripura,1971,3080.9
naga mani mizo tripura,1972,1353.9
naga mani mizo tripura,1973,2106.1
naga mani mizo tripura,1974,2329.6000000000004
naga mani mizo tripura,1975,2209.8
naga mani mizo tripura,1976,2651.2999999999997
naga mani mizo tripura,1977,2358.6
naga mani mizo tripura,1978,2150.6
naga mani mizo tripura,1979,1749.2000000000003
naga mani mizo tripura,1980,2304.8999999999996
naga mani mizo tripura,1981,2072.3
naga mani mizo tripura,1982,2027.5
naga mani mizo tripura,1983,2588.0999999999995
naga mani mizo tripura,1984,2454.0
naga mani mizo tripura,1985,2105.3
naga mani mizo tripura,1986,2342.2
naga mani mizo tripura,1987,2361.2
naga mani mizo tripura,1988,2820.2000000000003
naga mani mizo tripura,1989,2359.1000000000004
naga mani mizo tripura,1990,2582.2
naga mani mizo tripura,1991,2851.9000000000005
naga mani mizo tripura,1992,2221.5
naga mani mizo tripura,1993,2881.7000000000003
naga mani mizo tripura,1994,1712.5
naga mani mizo tripura,1995,2340.0999999999995
naga mani mizo tripura,1996,2194.6
naga mani mizo tripura,1997,2212.1000000000004
naga mani mizo tripura,1998,2225.4000000000005
naga mani mizo tripura,1999,2232.9
naga mani mizo tripura,2000,2363.8999999999996
naga mani mizo tripura,2001,2149.2
naga mani mizo tripura,2002,2242.4
naga mani mizo tripura,2003,2162.2999999999997
naga mani mizo tripura,2004,2353.7000000000003
naga mani mizo tripura,2005,1836.6999999999996
naga mani mizo tripura,2006,1872.2
naga mani mizo tripura,2007,2538.2999999999997
naga mani mizo tripura,2008,1748.9000000000003
naga mani mizo tripura,2009,1737.6999999999998
naga mani mizo tripura,2010,2295.2
naga mani mizo tripura,2011,1892.2
naga mani mizo tripura,2012,1923.0000000000002
naga mani mizo tripura,2013,1557.1000000000001
naga mani mizo tripura,2014,1599.8999999999999
naga mani mizo tripura,2015,1922.2000000000003
sub himalayan west bengal & sikkim,1901,2113.1000000000004
sub himalayan west bengal & sikkim,1902,3180.3
sub himalayan west bengal & sikkim,1903,2404.3
sub himalayan west bengal & sikkim,1904,2169.9
sub himalayan west bengal & sikkim,1905,3004.9999999999995
sub himalayan west bengal & sikkim,1906,2617.9
sub himalayan west bengal & sikkim,1907,2530.0
sub himalayan west bengal & sikkim,1908,1988.2
sub himalayan west bengal & sikkim,1909,2670.2000000000003
sub himalayan west bengal & sikkim,1910,3046.0999999999995
sub himalayan west bengal & sikkim,1911,3194.1
sub himalayan west bengal & sikkim,1912,2793.7000000000003
sub himalayan west bengal & sikkim,1913,2934.8999999999996
sub himalayan west bengal & sikkim,1914,2414.3000000000006
sub himalayan west bengal & sikkim,1915,2505.0
sub himalayan west bengal & sikkim,1916,3476.7999999999997
sub himalayan west bengal & sikkim,1917,2841.8
sub himalayan west bengal & sikkim,1918,2981.7
sub himalayan west bengal & sikkim,1919,2544.3999999999996
sub himalayan west bengal & sikkim,1920,2884.0999999999995
sub himalayan west bengal & sikkim,1921,3513.2999999999997
sub himalayan west bengal & sikkim,1922,3001.7
sub himalayan west bengal & sikkim,1923,2488.8999999999996
sub himalayan west bengal & sikkim,1924,2950.8
sub himalayan west bengal & sikkim,1925,2886.5000000000005
sub himalayan west bengal & sikkim,1926,2637.6000000000004
sub himalayan west bengal & sikkim,1927,2732.2000000000007
sub himalayan west bengal & sikkim,1928,2869.0000000000005
sub himalayan west bengal & sikkim,1929,2931.3
sub himalayan west bengal & sikkim,1930,2184.2000000000003
sub himalayan west bengal & sikkim,1931,2876.4
sub himalayan west bengal & sikkim,1932,2715.6
sub himalayan west bengal & sikkim,1933,2514.1
sub himalayan west bengal & sikkim,1934,2612.9000000000005
sub himalayan west bengal & sikkim,1935,2785.1000000000004
sub himalayan west bengal & sikkim,1936,2660.2999999999997
sub himalayan west bengal & sikkim,1937,2568.2999999999997
sub himalayan west bengal & sikkim,1938,3249.2000000000003
sub himalayan west bengal & sikkim,1939,2591.0000000000005
sub himalayan west bengal & sikkim,1940,2320.2
sub himalayan west bengal & sikkim,1941,2717.9
sub himalayan west bengal & sikkim,1942,2365.2999999999997
sub himalayan west bengal & sikkim,1943,2917.6000000000004
sub himalayan west bengal & sikkim,1944,2583.2
sub himalayan west bengal & sikkim,1945,2755.4000000000005
sub himalayan west bengal & sikkim,1946,2768.3999999999996
sub himalayan west bengal & sikkim,1947,2534.2
sub himalayan west bengal & sikkim,1948,2936.5000000000005
sub himalayan west bengal & sikkim,1949,3287.6
sub himalayan west bengal & sikkim,1950,2762.5999999999995
sub himalayan west bengal & sikkim,1951,2683.2000000000003
sub himalayan west bengal & sikkim,1952,3270.9
sub himalayan west bengal & sikkim,1953,2594.0
sub himalayan west bengal & sikkim,1954,3055.7000000000003
sub himalayan west bengal & sikkim,1955,2992.8
sub himalayan west bengal & sikkim,1956,2885.3999999999996
sub himalayan west bengal & sikkim,1957,2225.5
sub himalayan west bengal & sikkim,1958,2820.2000000000003
sub himalayan west bengal & sikkim,1959,2580.2
sub himalayan west bengal & sikkim,1960,2610.4
sub himalayan west bengal & sikkim,1961,2304.2
sub himalayan west bengal & sikkim,1962,2521.8
sub himalayan west bengal & sikkim,1963,2604.7999999999997
sub himalayan west bengal & sikkim,1964,2981.5000000000005
sub himalayan west bengal & sikkim,1965,2762.7999999999997
sub himalayan west bengal & sikkim,1966,2515.4000000000005
sub himalayan west bengal & sikkim,1967,2860.5
sub himalayan west bengal & sikkim,1968,3378.8
sub himalayan west bengal & sikkim,1969,2424.8
sub himalayan west bengal & sikkim,1970,2702.2
sub himalayan west bengal & sikkim,1971,3226.9
sub himalayan west bengal & sikkim,1972,2414.6000000000004
sub himalayan west bengal & sikkim,1973,2804.6000000000004
sub himalayan west bengal & sikkim,1974,3341.5000000000005
sub himalayan west bengal & sikkim,1975,2663.7999999999997
sub himalayan west bengal & sikkim,1976,2794.0
sub himalayan west bengal & sikkim,1977,2906.4
sub himalayan west bengal & sikkim,1978,2377.9
sub himalayan west bengal & sikkim,1979,2511.6999999999994
sub himalayan west bengal & sikkim,1980,3148.6
sub himalayan west bengal & sikkim,1981,2969.2999999999997
sub himalayan west bengal & sikkim,1982,2337.5
sub himalayan west bengal & sikkim,1983,2838.7000000000003
sub himalayan west bengal & sikkim,1984,2748.3999999999996
sub himalayan west bengal & sikkim,1985,3037.9000000000005
sub himalayan west bengal & sikkim,1986,2365.4
sub himalayan west bengal & sikkim,1987,3185.4999999999995
sub himalayan west bengal & sikkim,1988,3141.5
sub himalayan west bengal & sikkim,1989,2854.5999999999995
sub himalayan west bengal & sikkim,1990,3565.4
sub himalayan west bengal & sikkim,1991,3072.2
sub himalayan west bengal & sikkim,1992,2358.9
sub himalayan west bengal & sikkim,1993,2895.9
sub himalayan west bengal & sikkim,1994,2127.1
sub himalayan west bengal & sikkim,1995,3557.7
sub himalayan west bengal & sikkim,1996,2800.2000000000003
sub himalayan west bengal & sikkim,1997,2551.4000000000005
sub himalayan west bengal & sikkim,1998,3655.2
sub himalayan west bengal & sikkim,1999,3323.3
sub himalayan west bengal & sikkim,2000,2908.1
sub himalayan west bengal & sikkim,2001,2612.6000000000004
sub himalayan west bengal & sikkim,2002,2546.9
sub himalayan west bengal & sikkim,2003,2723.0
sub himalayan west bengal & sikkim,2004,2714.8
sub himalayan west bengal & sikkim,2005,2807.7000000000003
sub himalayan west bengal & sikkim,2006,2262.1000000000004
sub himalayan west bengal & sikkim,2007,2638.7
sub himalayan west bengal & sikkim,2008,2689.8
sub himalayan west bengal & sikkim,2009,2324.7
sub himalayan west bengal & sikkim,2010,2612.4999999999995
sub himalayan west bengal & sikkim,2011,2418.7999999999997
sub himalayan west bengal & sikkim,2012,2632.3
sub himalayan west bengal & sikkim,2013,2406.1
sub himalayan west bengal & sikkim,2014,2322.5000000000005
sub himalayan west bengal & sikkim,2015,2518.5
gangetic west bengal,1901,1487.7
gangetic west bengal,1902,1347.6000000000001
gangetic west bengal,1903,1354.3000000000002
gangetic west bengal,1904,1383.0999999999997
gangetic west bengal,1905,1667.0
gangetic west bengal,1906,1395.5
gangetic west bengal,1907,1337.1
gangetic west bengal,1908,1399.8
gangetic west bengal,1909,1697.7
gangetic west bengal,1910,1385.9
gangetic west bengal,1911,1264.8999999999999
gangetic west bengal,1912,1347.4
gangetic west bengal,1913,1826.8
gangetic west bengal,1914,1383.8000000000004
gangetic west bengal,1915,1310.3
gangetic west bengal,1916,1600.5
gangetic west bengal,1917,1775.7
gangetic west bengal,1918,1395.3
gangetic west bengal,1919,1482.3000000000002
gangetic west bengal,1920,1363.5
gangetic west bengal,1921,1300.2000000000003
gangetic west bengal,1922,1655.7
gangetic west bengal,1923,1285.2
gangetic west bengal,1924,1266.5
gangetic west bengal,1925,1273.7
gangetic west bengal,1926,1705.2
gangetic west bengal,1927,1190.6999999999998
gangetic west bengal,1928,1625.0
gangetic west bengal,1929,1557.4
gangetic west bengal,1930,1380.9999999999998
gangetic west bengal,1931,1475.7
gangetic west bengal,1932,1306.8
gangetic west bengal,1933,1867.1
gangetic west bengal,1934,1117.6000000000001
gangetic west bengal,1935,1015.1
gangetic west bengal,1936,1505.7
gangetic west bengal,1937,1522.5000000000002
gangetic west bengal,1938,1337.8000000000002
gangetic west bengal,1939,1698.4999999999998
gangetic west bengal,1940,1358.6999999999998
gangetic west bengal,1941,1801.1000000000001
gangetic west bengal,1942,1615.6999999999998
gangetic west bengal,1943,1446.3
gangetic west bengal,1944,1406.3999999999999
gangetic west bengal,1945,1271.4999999999998
gangetic west bengal,1946,1714.1999999999998
gangetic west bengal,1947,1363.1000000000001
gangetic west bengal,1948,1531.9999999999998
gangetic west bengal,1949,1493.5
gangetic west bengal,1950,1615.8000000000002
gangetic west bengal,1951,1214.0
gangetic west bengal,1952,1395.6999999999998
gangetic west bengal,1953,1505.8
gangetic west bengal,1954,1080.0
gangetic west bengal,1955,1268.3000000000002
gangetic west bengal,1956,1714.2
gangetic west bengal,1957,1130.6000000000001
gangetic west bengal,1958,1151.1000000000001
gangetic west bengal,1959,1812.6000000000001
gangetic west bengal,1960,1245.4999999999998
gangetic west bengal,1961,1290.4999999999998
gangetic west bengal,1962,1173.3999999999999
gangetic west bengal,1963,1289.6
gangetic west bengal,1964,1278.4
gangetic west bengal,1965,1263.8999999999999
gangetic west bengal,1966,1118.7
gangetic west bengal,1967,1348.4
gangetic west bengal,1968,1597.8
gangetic west bengal,1969,1404.1000000000004
gangetic west bengal,1970,1648.3999999999999
gangetic west bengal,1971,2099.8
gangetic west bengal,1972,1333.2
gangetic west bengal,1973,1735.1
gangetic west bengal,1974,1470.6
gangetic west bengal,1975,1466.1999999999998
gangetic west bengal,1976,1240.6
gangetic west bengal,1977,1840.5999999999997
gangetic west bengal,1978,1872.7
gangetic west bengal,1979,1157.8000000000002
gangetic west bengal,1980,1520.8
gangetic west bengal,1981,1909.0999999999997
gangetic west bengal,1982,1111.0
gangetic west bengal,1983,1463.6
gangetic west bengal,1984,1831.7
gangetic west bengal,1985,1413.5
gangetic west bengal,1986,1790.8
gangetic west bengal,1987,1591.5
gangetic west bengal,1988,1681.5
gangetic west bengal,1989,1626.1999999999998
gangetic west bengal,1990,1961.3000000000002
gangetic west bengal,1991,1609.3
gangetic west bengal,1992,1414.6
gangetic west bengal,1993,1759.7000000000003
gangetic west bengal,1994,1530.7999999999997
gangetic west bengal,1995,1936.1000000000001
gangetic west bengal,1996,1504.1
gangetic west bengal,1997,1657.9
gangetic west bengal,1998,1632.8
gangetic west bengal,1999,1957.0
gangetic west bengal,2000,1571.9999999999998
gangetic west bengal,2001,1540.7
gangetic west bengal,2002,1613.4
gangetic west bengal,2003,1496.7
gangetic west bengal,2004,1569.3999999999999
gangetic west bengal,2005,1604.8000000000002
gangetic west bengal,2006,1660.4
gangetic west bengal,2007,1941.4999999999998
gangetic west bengal,2008,1555.3999999999999
gangetic west bengal,2009,1314.9
gangetic west bengal,2010,1064.9
gangetic west bengal,2011,1686.4000000000003
gangetic west bengal,2012,1268.0
gangetic west bengal,2013,1764.0
gangetic west bengal,2014,1261.2999999999997
gangetic west bengal,2015,1530.2
orissa,1901,1284.1999999999998
orissa,1902,1348.9
orissa,1903,1568.2
orissa,1904,1514.7999999999997
orissa,1905,1357.3000000000004
orissa,1906,1408.2000000000003
orissa,1907,1447.2
orissa,1908,1430.6000000000001
orissa,1909,1535.2999999999997
orissa,1910,1598.5000000000002
orissa,1911,1417.3
